iter	Passed	Remaining
0	53	32218
1	104	31187
2	149	29695
3	198	29532
4	253	30184
5	305	30263
6	358	30341
7	406	30071
8	468	30759
9	515	30400
10	698	37410
11	804	39411
12	870	39328
13	940	39368
14	1012	39506
15	1072	39139
16	1131	38796
17	1188	38425
18	1243	38019
19	1296	37586
20	1357	37421
21	1423	37389
22	1502	37693
23	1554	37312
24	1601	36834
25	1647	36369
26	1693	35933
27	1748	35720
28	1810	35653
29	1869	35519
30	1924	35324
31	1973	35027
32	2021	34734
33	2067	34414
34	2116	34167
35	2159	33838
36	2213	33678
37	2260	33426
38	2306	33175
39	2354	32967
40	2404	32781
41	2463	32735
42	2513	32555
43	2561	32362
44	2612	32221
45	2660	32045
46	2713	31931
47	2773	31891
48	2844	31981
49	2919	32111
50	2984	32129
51	3054	32187
52	3119	32195
53	3190	32255
54	3253	32234
55	3316	32212
56	3380	32199
57	3446	32207
58	3560	32643
59	3617	32560
60	3675	32475
61	3736	32426
62	3796	32357
63	3860	32329
64	3924	32301
65	3992	32303
66	4046	32192
67	4111	32167
68	4173	32117
69	4233	32050
70	4286	31936
71	4347	31878
72	4411	31850
73	4471	31781
74	4533	31732
75	4587	31631
76	4646	31559
77	4716	31565
78	4775	31492
79	4844	31491
80	4907	31445
81	4977	31442
82	5042	31411
83	5106	31366
84	5160	31267
85	5215	31172
86	5274	31101
87	5334	31034
88	5402	31018
89	5457	30926
90	5532	30948
91	5617	31018
92	5698	31066
93	5764	31030
94	5820	30938
95	5870	30817
96	5914	30670
97	5963	30545
98	6008	30406
99	6063	30319
100	6104	30158
101	6151	30032
102	6199	29914
103	6252	29817
104	6315	29773
105	6361	29647
106	6410	29537
107	6453	29397
108	6502	29290
109	6595	29381
110	6641	29257
111	6685	29127
112	6741	29055
113	6797	28980
114	6860	28932
115	6928	28907
116	6992	28868
117	7074	28896
118	7142	28869
119	7218	28874
120	7281	28826
121	7349	28796
122	7409	28734
123	7462	28646
124	7526	28600
125	7585	28535
126	7642	28463
127	7703	28405
128	7768	28365
129	7825	28290
130	7877	28203
131	7947	28177
132	8005	28108
133	8059	28027
134	8119	27968
135	8180	27910
136	8247	27872
137	8303	27799
138	8349	27690
139	8398	27595
140	8441	27481
141	8499	27415
142	8556	27343
143	8612	27273
144	8653	27154
145	8718	27109
146	8780	27056
147	8840	26997
148	8893	26918
149	8942	26826
150	9008	26788
151	9062	26710
152	9141	26706
153	9580	27745
154	9766	28039
155	10090	28719
156	10275	28993
157	10334	28909
158	10396	28835
159	10456	28755
160	10511	28661
161	10566	28569
162	10625	28486
163	10682	28398
164	10741	28317
165	10790	28212
166	10837	28098
167	10910	28056
168	10957	27946
169	11002	27829
170	11040	27698
171	11084	27582
172	11144	27507
173	11210	27447
174	11279	27392
175	11342	27323
176	11407	27261
177	11474	27203
178	11545	27155
179	11622	27118
180	11689	27061
181	11757	27002
182	11818	26931
183	11873	26843
184	11925	26750
185	11992	26693
186	12149	26832
187	12204	26745
188	12258	26656
189	12326	26599
190	12400	26553
191	12488	26538
192	12563	26493
193	12619	26408
194	12682	26340
195	12747	26275
196	12810	26206
197	12865	26120
198	12917	26029
199	12981	25962
200	13036	25877
201	13094	25799
202	13147	25713
203	13200	25624
204	13253	25537
205	13314	25465
206	13369	25381
207	13427	25305
208	13511	25277
209	13596	25249
210	13680	25221
211	13751	25167
212	13824	25117
213	13869	25017
214	13921	24929
215	13991	24873
216	14059	24814
217	14121	24745
218	14178	24666
219	14225	24571
220	14276	24483
221	14332	24404
222	14387	24322
223	14433	24228
224	14487	24145
225	14539	24060
226	14597	23986
227	14667	23931
228	14740	23880
229	14806	23819
230	14862	23740
231	14914	23658
232	14963	23569
233	15018	23489
234	15073	23412
235	15130	23336
236	15183	23256
237	15244	23186
238	15339	23170
239	15437	23156
240	15497	23085
241	15564	23025
242	15617	22944
243	15663	22853
244	15717	22774
245	15769	22692
246	15827	22620
247	15885	22547
248	15942	22473
249	15984	22378
250	16032	22292
251	16077	22202
252	16117	22106
253	16163	22018
254	16205	21924
255	16246	21831
256	16293	21745
257	16337	21657
258	16413	21610
259	16487	21560
260	16591	21549
261	16648	21477
262	16706	21407
263	16760	21331
264	16821	21264
265	16870	21183
266	16919	21102
267	16960	21010
268	16997	20914
269	17040	20827
270	17086	20743
271	17127	20653
272	17174	20571
273	17234	20505
274	17275	20416
275	17312	20323
276	17358	20241
277	17408	20163
278	17457	20085
279	17505	20006
280	17547	19920
281	17599	19846
282	17637	19756
283	17689	19682
284	17741	19609
285	17804	19547
286	17859	19477
287	17916	19409
288	17972	19340
289	18039	19283
290	18092	19211
291	18143	19137
292	18219	19089
293	18279	19025
294	18338	18960
295	18416	18913
296	18482	18856
297	18878	19131
298	19159	19288
299	19431	19431
300	19625	19495
301	19871	19608
302	19924	19530
303	19978	19452
304	20028	19371
305	20097	19309
306	20160	19240
307	20217	19167
308	20275	19094
309	20323	19012
310	20377	18936
311	20423	18852
312	20475	18774
313	20530	18699
314	20582	18622
315	20834	18724
316	21698	19370
317	22106	19604
318	22298	19642
319	22403	19602
320	22538	19589
321	22708	19605
322	22799	19552
323	22872	19484
324	22936	19407
325	23006	19336
326	23066	19257
327	23119	19172
328	23176	19090
329	23227	19004
330	23297	18933
331	23507	18976
332	23641	18955
333	23686	18864
334	23735	18775
335	23785	18688
336	23842	18607
337	23902	18527
338	23953	18442
339	24015	18364
340	24070	18282
341	24139	18210
342	24183	18120
343	24242	18041
344	24303	17963
345	24359	17882
346	24412	17799
347	24459	17711
348	24505	17624
349	24560	17543
350	24623	17468
351	24688	17394
352	24738	17310
353	24808	17239
354	24876	17168
355	24941	17094
356	25001	17017
357	25062	16942
358	25122	16865
359	25188	16792
360	25250	16717
361	25304	16636
362	25358	16556
363	25408	16473
364	25457	16390
365	25517	16314
366	25577	16238
367	25643	16166
368	25709	16094
369	25779	16024
370	25848	15954
371	25911	15880
372	25965	15802
373	26017	15721
374	26069	15641
375	26121	15561
376	26179	15485
377	26230	15405
378	26290	15330
379	26339	15249
